Class,Type,Difficulty,Following Class
Stu Art AP,Art,3,None
AP 3 D Design,Art,3,None
Adv Stu Art,Art,2,Stu Art AP
Adv 2 D Design,Art,2,AP 2 D Design
AP 2 D Design,Art,3,None
Paint/Draw,Art,1,Adv Stu Art
Ceramics II,Art,1,AP 3 D Design
Ind St ART,Art,1,None
Graphic Design 1,Art,1,Digital Photo 2=Adv 2 D Design
Digital Photo 2,Art,1,Graphic Design 1=Adv 2 D Design
AVID 09,Other,1,AVID 10
AVID 10,Other,1,AVID 11
AVID 11,Other,1,None
Comm Access 1,Other,1,None
Fin Coll Acct,Business,1,Man Coll Acct
Man Coll Acct,Business,1,Ent & Bus Strat
Ent & Bus Strat,Business,1,Business Incubator
Business Incubator,Business,1,None
Voc Aware 1 2,Business,1,Voc Aware 3 4
Voc Aware 3 4,Business,1,Voc Aware 5 6
Voc Aware 5 6,Business,1,Voc Aware 7 8
Voc Aware 7 8,Business,1,None
Bus Tech 2,Business,1,None
Cons Ed,Business,1,None
Investing,Business,1,Marketing
Marketing,Business,1,Investing
EL Bus Topics 2,Business,1,None
Case Mgr,Other,1,None
CVE Work St,Other,1,CVE OTJ
CVE OTJ,Other,1,None
Work Study 1 2,Other,1,Work Study 3 4
On The Job 1 2,Other,1,On The Job 3 4
Work Study 3 4,Other,1,None
On The Job 3 4,Other,1,None
Dr Ed Btw,Other,1,Dr Ed Clrm
Dr Ed Clrm,Other,1,None
Acting,Theatre,1,Stagecraft=Adv Theatre Studio
Arts Appreciation,Theatre,1,None
Play Production,Theatre,2,Directing
Adv Theatre Studio,Theatre,2,Directing=Play Production
Directing,Theatre,2,Play Production
Stagecraft,Theatre,1,Acting=Adv Theatre Studio
Theatre Workshp,Theatre,1,Stagecraft=Acting
Yearbook Prod Honors,English,2,None
Fr Eng 12 22,English,1,So English=So Eng 32 42R
Fr Eng 12 22/Rd,English,1,So English=So Eng 32 42R
H. News Prod,English,2,None
GAW Eng Lang AP,English,3,H Col Prp Soc Jus/Equ=Col Prp H. Lit Peace/NonV=Asian American Lit Hon=Col Prp H. Lit Sprt/Am Cul=Col Prp H. Women/Gender=Col Prp H. World Lit=H. Sr English=H. Bible Myth=H. News Prod=Brdcast Prod=Yearbook Prod Honors+Sr English=Col Prp Soc Jus/Equ=Asian American Lit=Images Lit=Public Speaking=Col Prp Lit Peace/NonV=Col Prp Lit Sprt/Am Cul=Col Prp Women/Gender=Col Prp World Lit=Creative Writing=Digital Storytelling=Col Prep 1
AM LT COMP,English,3,H Col Prp Soc Jus/Equ=Col Prp H. Lit Peace/NonV=Asian American Lit Hon=Col Prp H. Lit Sprt/Am Cul=Col Prp H. Women/Gender=Col Prp H. World Lit=H. Sr English=H. Bible Myth=H. News Prod=Brdcast Prod=Yearbook Prod Honors+Sr English=Col Prp Soc Jus/Equ=Asian American Lit=Images Lit=Public Speaking=Col Prp Lit Peace/NonV=Col Prp Lit Sprt/Am Cul=Col Prp Women/Gender=Col Prp World Lit=Creative Writing=Digital Storytelling=Col Prep 1
